200
5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 
34.8898 x x x x x 119.48361 109.94367 108.70567 10.96153 x 132.75839 x 51.76891 81.61597 118.81637 x x 179.36118 x x x 36.63845 53.39539 134.96287 128.92752 120.86046 x 23.25644 x x x 196.81848 36.01479 86.67793 x x x 120.47571 29.58622 56.65052 42.77121 x 61.04545 x x 18.42837 x x 136.52977 118.70751 104.21379 112.66702 133.58784 117.66953 x 124.1304 185.63665 x 158.86267 x x x 100.77093 x 110.09794 21.50699 x 32.55393 130.18602 155.06239 x 162.53401 40.91948 118.31191 78.68426 89.92826 156.90247 x 90.25745 x x x x x 154.11668 x 120.45544 x 182.72193 x 131.59006 x x 157.53621 x x x x 5.98672 85.44038 x x 57.7161 41.71788 x x x 174.96066 x x 171.15945 x x 133.73803 64.76298 x x 38.47403 x 118.7674 x 104.7607 53.44781 x 66.92111 150.43194 x 152.65035 x x x x x x x 170.19809 139.21732 x x x 104.79264 x x x x x 107.22834 x 33.88668 x x 102.71975 x x x 151.19767 x 133.3045 150.69815 71.82484 x x x 118.13309 x x x x x 73.24353 x x x 98.58589 158.01453 x x x 72.29566 x 53.52783 x x 174.5644 x 139.03389 x x 53.38335 125.70684 x x 115.43195 x x x x x x 
154.12482 7.75583 x x x 188.76293 144.42447 10.91616 x 127.0316 45.11814 123.75756 61.88816 86.70477 51.99409 60.8221 x 133.48902 102.82196 x 8.80636 x 103.78372 x 48.49917 x 75.44034 132.50905 x 45.33521 x 146.4196 x x 33.84967 199.03906 75.5203 120.47571 x x 93.5236 163.11411 42.26278 x 89.53846 x 106.77228 110.88169 x x x x 92.47008 x x 39.78174 x x 146.60206 61.39399 117.87562 x 126.70134 79.85544 100.8509 x 141.97999 183.21095 98.15899 106.90875 x 55.64994 143.54392 x 42.93658 42.67219 x x x x 143.50981 24.37231 x x 166.03794 x 77.74743 85.72938 149.32873 x 24.08571 168.58176 x 34.94794 x x 137.75957 x x x 170.11254 75.22516 104.62094 154.06494 x 73.63445 68.5218 x x x 147.05582 136.80049 x 137.84228 202.9021 x x x x x 192.88741 x 58.47436 x x x 30.52853 144.83627 149.74092 x 56.21882 x x x x x 88.71136 152.6214 55.24607 11.11738 103.19943 x x x x x x x 139.73581 121.202 151.07243 x 125.67818 150.56306 72.68818 90.68543 47.84709 x x 95.68311 123.80213 x x 199.06705 154.21489 x x 55.88688 110.53742 x x 159.30357 x x 23.56245 136.24637 x x x x x x 165.3589 96.51484 x 40.48114 37.8682 x x x x x 66.98608 x x 39.32271 126.28443 x x 137.88242 
x x 110.29679 16.06613 x x x 132.07126 135.92214 18.90207 x x x x x 129.89521 85.71347 x 187.57646 x 134.30247 133.18595 65.98666 70.22016 162.41352 117.16737 128.61553 x x x x 42.2779 200.35942 x 109.89931 98.1858 113.70153 29.58622 x x 62.08798 32.98977 121.30611 x 169.12124 125.54684 x 126.6819 x 118.25548 123.85767 x x 141.39252 x 164.00967 x x 19.22068 x 167.86955 x 178.97706 x 62.36563 93.61541 20.5767 114.18581 45.55128 130.78289 150.68881 141.44208 x 61.1769 x 103.12422 x 149.93302 175.47153 x x x x 146.23515 x 180.77578 68.00687 x 142.09957 187.28816 x 115.34393 82.72513 131.69996 x x 113.22478 x 173.42069 31.64207 59.85319 x 108.35848 31.54365 30.28764 x x 38.20192 x x 58.96842 x 159.22548 190.24256 x x x x 27.87857 123.32113 93.52455 x x 59.26032 83.16786 38.08806 171.79215 x x 99.58343 173.24239 99.03353 34.24948 x 6.81454 104.6482 180.24102 128.7052 112.78532 147.8756 45.24374 103.03311 47.29485 x 62.63232 x 167.49288 x x x 42.9675 160.58623 x x x 146.75773 177.56202 x x 156.37008 62.26325 x x x x x x x x 26.36491 x x x x 122.60785 x x 134.38573 x x x 38.46566 x 87.10791 184.26099 108.00733 x x x 53.03306 x x x x x x 139.06418 96.92551 x x 
x x 55.46053 x x 101.57296 72.31306 82.90467 x 54.99648 58.94583 77.42098 113.13114 75.39931 42.05182 x x 67.52432 125.70773 104.14681 x 77.10439 74.39782 x x x 66.66945 82.57337 70.43434 84.34461 x x 140.68509 87.53762 66.33577 x 51.77485 56.65052 93.5236 62.08798 x 92.4485 x 63.40596 x x x 71.03764 54.30783 99.37744 62.85514 77.11986 56.10767 x 69.58966 124.56566 75.7591 x 57.831 112.66833 108.97845 123.57581 120.39023 45.29014 9.30514 72.90819 x 100.3774 24.84687 73.56675 x 80.03109 x 95.21173 x x 35.01554 x x 34.83886 x 69.25111 95.22709 111.25009 x x x x x x 87.39383 91.12767 61.72686 95.89249 x 107.389 x 87.13392 119.40839 51.01422 76.61838 x 52.79599 62.44663 x x 101.86498 82.77806 x x x 114.67959 105.43679 x x 81.37142 x x 36.72089 x 101.48858 x x x 21.85124 76.80436 x 76.33982 99.58861 x x 70.78816 x x x 48.21 118.15325 x 51.99308 x x x x 31.20149 x x 128.52376 91.81981 90.53226 x x 99.0799 x 57.1322 115.00157 x 136.72861 32.94659 95.16088 95.28559 x x 100.01637 108.75541 x x 44.422 x x x x x 90.95709 113.24876 79.23824 x x x 36.85877 53.18079 x x x x x 70.75604 124.57411 x 8.53517 x x x 77.50196 x 28.04858 x x x x x 
11.34556 x 134.8064 x 104.97522 x 140.74853 152.64618 148.72561 x 144.77432 162.13131 201.03791 87.60334 x 158.80376 x 29.63749 218.03372 x 154.31192 x x 95.0882 x 149.49757 x x 22.12355 129.036 x x 232.37674 x x 121.10233 x 42.77121 163.11411 32.98977 92.4485 x 134.61224 x x x 58.99764 159.33371 x 148.02946 155.14092 146.94577 x 171.83482 x x x x x x 200.0785 215.99752 211.28576 x x x 21.51944 x 71.80096 163.23355 183.67466 169.59229 191.10609 47.55241 159.94607 x x 182.84875 x 127.28503 201.70661 x x x x x 94.20499 156.93693 x 219.00143 x x x 145.72965 x x x 135.54281 x x 85.08359 x 140.91859 59.05794 63.20154 134.93755 127.43136 54.43374 212.77995 x x 202.63599 x 222.70677 132.7544 101.24912 x x x 154.99046 117.42149 89.1185 142.15489 x 112.28453 x 193.16473 x x x 199.63846 130.95163 66.1783 219.44343 x x x x 140.73305 x 75.01407 x x x 66.71662 41.14582 x x x 55.29832 x x 128.08041 82.3393 x x 191.76756 x x x 95.2342 x 115.96924 x x x x x x 23.14487 x 4.0347 x x x x 107.35605 x x x 176.33277 x x x x x x x 97.32052 x x x x x x 199.67643 x x x x 
x x x 105.24322 91.55099 x x 37.59127 14.62824 x x 143.23752 x 49.65498 58.4047 88.4203 157.40875 x 140.9688 100.23047 35.97936 134.59057 x 63.79593 41.16735 x 100.99614 99.33258 117.43723 5.60806 x x x 91.07736 x x 95.0108 x 42.26278 121.30611 x 134.61224 x 33.25935 125.56587 47.11961 x x 112.58783 x 108.22077 36.20726 111.45492 108.53233 x 43.42615 84.83585 174.68381 130.06538 x x x 159.24012 x x x x x 82.1527 x 162.00241 88.51389 x 101.17963 x 24.7105 x x 173.80078 91.47229 170.69273 42.90618 112.72777 x x x 69.04647 109.0513 168.39208 155.82738 x x x x 155.03124 x 150.40264 174.59023 73.81065 90.34175 161.62103 32.96671 119.8345 140.07433 x 89.085 x 156.46922 x x 142.14428 165.39695 63.22368 171.1673 201.84279 x 67.11923 x x x x x x 130.18219 x 153.11899 x 117.05909 169.54872 x 97.6792 x 128.07867 x 118.81045 x x x x 38.48348 x x 145.84471 x x x 46.60399 179.32517 x x x x x 143.21011 112.80107 x x x 68.23132 127.39389 x x x 197.22394 x x 120.93398 x x 111.67978 68.6386 131.17188 x 161.85353 x x 36.88576 15.59125 x x x 122.17016 x x 132.05426 18.43569 45.26766 8.65004 x x 64.96362 59.98226 x x x x x x x 171.34138 
x 70.83895 x x 69.84153 x x x 47.83629 69.89072 x 130.41812 115.86476 24.20194 48.49846 87.74704 131.93927 x 147.2362 x x x x 38.62765 74.29492 143.36963 96.82809 x 84.28681 x 106.56393 106.21502 x 62.69358 x 166.78293 x 61.04545 x x 63.40596 x 33.25935 x 129.75151 56.42399 52.72433 x x x 100.78077 x x 107.2654 82.46197 76.45793 x x x 115.32205 146.60086 x x x x 136.25536 81.9941 163.64109 x x x 92.62342 158.05691 73.10178 x 22.16433 75.65847 158.25732 x 77.36651 x 50.76028 x 58.15502 x x 43.90954 102.06027 154.04737 x x x x x 147.47684 x x 150.50195 x x x 34.5913 105.29932 x 82.16974 78.32274 x 123.78696 145.96355 48.66621 x x 84.48679 170.01023 x x 51.015 101.60493 80.15658 104.2003 x 43.72841 47.23427 100.61433 x x 94.65157 84.23997 155.74737 x x x 97.17677 x 85.83023 52.16804 x 149.81656 x x x 104.40335 x 41.39019 x x 79.76587 x x x 110.27024 x x 113.63914 123.63591 x x x x x 95.58843 76.89449 x x x x 102.65667 x 121.93281 x x 98.50615 41.78004 x 40.6858 x x x x x 74.82376 92.02349 101.29234 x 139.78105 x 78.02759 39.13066 57.48561 72.20601 77.78299 34.21215 14.25897 x 38.58195 98.16361 137.23957 x 126.60356 x 
x 90.93742 78.78003 x 95.11601 x x 89.10603 x 161.31419 63.34517 68.80465 x 153.33515 83.44521 42.96549 131.11253 x 18.66251 x 91.7557 54.78107 x 108.73072 136.90257 x 40.51128 183.33695 177.3314 126.08614 x x x x 101.82552 x x x 89.53846 169.12124 x x 125.56587 129.75151 x x 142.36903 59.07601 161.47968 138.34117 46.70308 x 57.09848 27.73612 47.29033 x 41.81257 x x 37.5149 34.36236 x 39.62894 x x x x x x x 69.88293 x x 193.43393 x x 72.15899 83.56697 x x 64.74971 83.17232 197.46 x x x 107.66401 x x x 109.00666 127.23874 124.92147 x x x 94.3363 x 80.24578 154.72346 x x x x 140.98404 x x x x 172.4539 x 56.03526 x 49.29106 x x 88.13116 40.44175 142.438 49.13381 171.57728 x 145.68525 213.80084 87.39327 176.03048 83.49233 x x 94.71769 43.87999 x x 54.43382 162.70081 78.26504 x x 62.19854 x x 76.3035 154.59221 x 161.65372 x 129.69155 167.43015 x 178.44983 x x x x 26.94494 25.54349 129.709 x 63.10621 x 117.64405 x 170.76707 173.61791 x x x x x x x 195.43314 x x x x x 135.81421 x x x x 220.35256 166.48842 x x 123.6606 132.55621 102.18573 116.49921 x x 140.0834 x x x x x x 49.20645 
140.30246 x x x x x 122.2568 14.09646 51.33134 110.98011 x 103.15856 x 80.56799 30.43702 42.63611 x 118.93147 94.35933 x x 92.43788 95.13896 55.42109 67.4782 x 56.47182 121.30354 127.53888 47.61677 122.12447 125.51036 123.74993 x 24.92051 x x x x 125.54684 x x 47.11961 56.42399 x x x 90.47749 116.50998 156.82941 x 11.52317 x 62.30085 x 60.4742 37.85135 x 127.41248 x 102.68827 95.21658 x 58.04061 x x 126.98001 x x 87.07318 119.532 41.40704 124.79363 x x x 55.30893 130.05383 x x x x 135.88859 55.7957 x x x 65.96947 x x 31.60569 146.30845 125.51611 x 110.69349 x 115.84938 147.06867 x x 148.76001 77.50738 x x x x 73.46731 153.65835 94.93871 x x 120.04881 33.75978 x x 73.83743 43.15733 x 106.2129 70.63481 170.75735 x 67.86507 153.55246 53.3636 x 46.66609 x x 26.52924 x x x x x x x x x 32.58173 x x x 75.05987 94.16333 112.56356 64.43773 162.16363 129.03438 111.99488 x x x x 67.9761 74.24803 69.84186 105.37889 28.03947 80.71541 x x x x x 89.20471 88.40277 x x 125.82416 x x x x x x x x 83.83178 125.01379 x x 156.23415 x 85.85373 x x 54.44089 63.96633 x 21.39752 x 63.86015 x 49.28415 60.69117 106.49499 170.388 x 124.44036 
52.46791 114.4067 75.99551 20.86418 x 120.41747 104.93562 95.98397 x 20.72872 85.81357 115.52991 142.07555 51.23562 64.4553 x 92.02307 30.70894 161.03148 x x 115.73114 42.07918 36.09383 x 114.45128 102.45295 x x x x 57.14463 x 50.02888 x 118.93708 x 18.42837 106.77228 x x 58.99764 x 52.72433 142.36903 x x 109.6381 27.44165 x x 90.09135 94.43427 x x 127.82702 106.32129 167.63048 45.06859 141.56512 147.17226 159.38905 x 82.35884 x x x x 14.14759 112.17805 x x x 56.93382 100.97544 66.67333 x 140.40939 160.09938 x x 85.39446 56.6794 110.4471 x 144.62067 x x x x 92.06799 119.24419 x x x x 106.60351 x x 12.54361 81.4264 x x x x 78.44444 x 71.06307 x 46.01952 68.60961 x 123.72508 170.61912 x 62.23838 55.43091 x x 101.15354 x 30.31262 99.33008 x 55.0985 68.25342 136.04703 x 136.37698 63.94708 140.64164 99.82057 x 168.57349 x x x x x x 23.00834 x x x x 23.33349 131.3738 102.03169 x x x x x x x 122.59141 141.31213 x 117.33991 132.27039 58.05875 x x x 105.06252 x 81.81181 92.30041 x x 55.2262 x x x 86.16396 x x x 74.44281 x x x x x 156.36715 x x 91.84446 x x x x x x 42.40923 144.92014 x 115.47313 x 171.1503 
157.08652 116.02455 79.18923 120.78145 x x 45.57438 104.5379 139.81931 124.39782 66.80409 x 87.13579 139.34292 73.83066 51.07714 72.76569 137.46068 73.3561 174.7913 108.15383 6.54061 142.9814 x 157.95344 47.85788 x 153.60585 138.23755 129.38681 89.34686 97.056 x 158.22898 103.9068 118.01833 x x 110.88169 126.6819 71.03764 159.33371 x x 59.07601 90.47749 109.6381 x x 80.08279 25.439 x 20.00461 39.84227 x 150.48841 x 58.58616 115.04025 x x x 53.08564 x x 68.36399 x 87.24386 x x 31.14763 60.99506 x 166.18598 69.02796 108.80651 44.56654 39.78606 50.4791 42.95884 44.7381 92.00762 x x 186.50234 x 82.05258 x 38.44807 x x x 67.13837 x 30.11832 x 35.44034 75.51323 x 121.9226 108.34645 x 18.53204 x x x 153.55628 132.14304 64.58838 150.28636 84.60394 43.76255 x x 116.1353 x x 30.3583 98.80621 20.06528 x x x 180.02856 60.68091 x x x 38.93936 x x x 98.36755 60.11027 119.87756 x 73.30725 x 57.69511 x 87.40471 x x x 139.91724 x x 109.3252 x x 100.62211 71.1693 x 92.95444 x 34.19105 158.37152 x 93.67224 40.38322 66.87529 x x 114.57528 x x 31.42293 55.00239 3.86623 143.97174 68.04986 x x 42.74669 x x x x 37.13975 88.91368 x x 189.83885 153.0251 x 114.18083 x x 70.57499 x x 145.3735 x 117.0391 83.08834 141.8039 17.08422 110.05634 59.14452 x 
x 141.50711 x x 66.58786 107.94796 105.27322 122.97995 x 12.01595 109.45841 124.04007 x 73.78246 x 121.72907 x 22.06601 180.00663 x 125.21163 127.25702 x x x x 120.97478 x 17.66769 x x x 193.72874 56.6401 x 101.63914 x x x x 54.30783 x 112.58783 x 161.47968 116.50998 27.44165 x x x 116.67657 117.04589 108.88022 133.78698 122.23112 155.15155 128.60378 179.35186 x 164.91003 x 177.82086 172.62503 x x 92.47018 x x 36.59404 x 145.84604 x 153.31258 x 124.58199 94.11282 x x x x x x 51.85054 137.51775 69.42131 x 59.14818 118.47609 138.23689 180.41699 x x 81.13413 122.89228 x 67.76117 x 104.92896 164.36413 23.81444 x 104.51974 102.34309 x 25.66425 97.0283 112.84615 45.35296 x 59.56898 58.43762 x 150.1722 184.06988 x 86.2599 78.38018 x 22.72847 x x x 125.20569 x 74.97687 44.06381 162.71966 x x 90.50804 x 96.95419 x x 7.16768 x x 125.60326 104.349 x 37.11506 x x 42.07608 x x x 85.09007 50.39921 x 44.3152 152.24313 90.87935 x 168.33716 x 168.67599 x x 149.20359 x x x x x x 90.16537 x 124.29576 x x x x 163.5277 x x x 125.86157 83.72071 52.54993 x 35.79687 x x x x x x x 46.19564 x x x x x 172.21878 x x x x 
151.63974 x 141.21306 122.87159 x 24.98624 35.78931 x 198.12041 127.88597 134.56346 69.54185 x 172.8692 x 126.14442 x 139.97383 150.35255 x 173.96463 83.63119 x 124.3895 221.12811 32.32458 113.16614 162.38327 x 182.24542 x 75.97818 141.15915 x x x 106.05868 136.52977 x 118.25548 99.37744 148.02946 x x 138.34117 156.82941 x 80.08279 x x x 165.60595 91.20912 119.41745 x x x x x x 113.36698 145.77863 x 100.21824 x 27.04958 x x 116.96213 x x 138.09794 80.01389 176.55189 x 161.38376 101.5254 x 99.83067 x 92.8516 x 169.72402 206.3835 x 231.16826 x 102.45482 56.69472 135.41923 180.95554 11.27702 x 191.57925 90.75719 x x 13.16708 194.32752 133.44791 65.74201 x x 88.97708 x x 201.18427 99.25226 x x 59.55119 99.76914 x 125.02926 x 180.29927 119.53164 108.06523 98.05954 96.53425 46.23668 119.11544 206.61147 x x 92.40703 x 141.81841 59.54408 144.74335 x x x x 112.7354 x x x 124.33233 x x x x 126.54686 x 118.75152 220.29285 x x x x x 53.48893 x x 114.17437 226.57241 83.1103 x x 68.31454 x x x x 85.1195 68.49659 x 82.95975 x x x x x x x x 201.65843 73.17183 x x x x x x x x 194.59819 x x x x x x 125.89812 214.94509 75.52674 41.51916 x x 
151.14716 x 55.60743 x x x 65.87568 79.50844 115.6955 x 42.06703 38.41145 66.21023 x 52.59261 x 87.79002 130.1824 64.4597 162.15308 83.08943 26.91161 128.26575 x x x 11.62606 x 133.21706 106.6792 x x 78.11971 145.92864 x 134.2416 14.23865 118.70751 x 123.85767 62.85514 155.14092 108.22077 100.78077 46.70308 x x 25.439 116.67657 x x 76.65401 11.22303 20.17233 x x 35.70605 x 115.69157 65.93547 x x x x 61.50993 x 135.2599 x x 21.54554 x x 59.78658 154.76846 x 86.81303 x x 66.83841 x 62.92804 x x 121.13943 x 137.74812 x 1.80202 x x 96.03193 90.35424 x x x x x 94.9804 x x x 132.30998 25.8215 x x x 131.62421 x x 136.30553 92.83226 x 83.83572 x x 121.65835 x x 96.62078 5.43224 x 72.39009 x 172.15034 x 129.32828 x x 64.20881 x x x 100.6406 x 117.27686 50.64871 x 68.9632 33.76221 x x x x x x x 129.05804 x 151.46518 140.92803 x 49.90468 52.37602 x 62.70761 22.90059 x x x x x x x x 78.32629 x x x x x 50.44436 151.19818 x x 87.71664 x 128.41629 x x x x 92.47885 x x 62.92288 91.73193 x 116.56797 x x 62.62831 129.07879 x 91.94299 66.47549 x x x x 71.73858 
138.20512 24.64679 x 110.94352 x 173.9994 131.53934 5.9785 39.80817 110.46475 34.61448 113.9438 x 73.85976 x 54.14257 x x 104.78441 x 8.91604 103.55698 x x 56.84143 138.83784 x 117.50249 126.72169 37.29259 x 129.84863 x 112.69063 x 183.41979 64.96166 104.21379 x x 77.11986 146.94577 36.20726 x x 11.52317 90.09135 x 117.04589 165.60595 76.65401 x 82.04625 73.82029 45.9602 x 49.24445 x 129.71229 x x 105.86851 123.93108 68.12384 84.7322 142.25861 x x x x 130.74919 52.64665 136.11024 x x x x x x 66.50625 137.51316 9.58852 131.96713 44.49301 x x 60.91631 77.16559 x x 20.09472 x x 33.40355 122.13363 135.42039 125.57618 x 48.44324 98.96173 x 67.6025 92.93549 x x 61.40964 62.86278 156.26623 105.80002 98.83495 131.01529 131.564 34.7506 x 187.69438 x x x x 81.67688 177.26114 64.84668 56.51055 x 59.89031 x x 128.64055 140.27319 x x 136.2831 122.97243 138.36378 x 32.14186 x x x 24.50798 86.35537 95.13544 x 75.02146 x 113.00483 54.74974 x x x x 64.18916 x x 77.19929 x 61.1843 109.64589 x 92.17434 108.0309 x 175.86657 183.70762 140.6127 x x 47.23522 x x 50.15298 143.09522 90.20087 x 13.47892 x x 47.03846 x 130.24157 x x x 84.88874 95.9668 27.68618 49.77926 43.19159 x 89.70172 x x x x x x x 177.16563 131.16013 x 
144.13132 98.06062 x x 43.22243 106.50948 55.42084 85.50726 x 110.92371 47.69913 31.99311 x 120.42227 x 35.03988 76.57882 123.60609 74.33906 158.05649 89.1572 24.04113 125.1778 67.5069 138.81678 60.48831 22.22029 138.0474 125.8061 x 84.60722 x x x 83.93973 x 17.09716 112.66702 92.47008 x 56.10767 x 111.45492 x 57.09848 x 94.43427 20.00461 108.88022 91.20912 11.22303 82.04625 x x 42.95601 131.76786 x 73.67235 106.45344 77.03674 x x x x 53.45206 74.19404 x x x 19.20538 x x 57.5039 x x 88.80994 x x x 24.11951 x x x 126.22603 171.89361 x x x 57.53893 71.62311 x 80.02308 x x 47.37096 162.5667 x x x 106.93599 x 133.39456 14.73932 106.08075 86.19991 22.66135 x x x 132.83921 x x 92.66659 x x 121.46227 x x x 8.03153 x 68.14793 133.43953 165.93992 x 119.18006 x x x 69.84713 80.4461 64.77662 90.92251 74.31804 108.98446 53.31779 x 60.34483 x 103.38201 x 20.35317 x x x 106.43557 135.69032 112.01408 x 136.83602 x x x 89.50154 x x x 76.81296 x x 60.65893 x x x x x x 36.88647 x x x x 138.05497 x x x 128.6868 x x x 131.29575 82.88364 174.79117 134.1458 x x x x 53.98618 62.71355 71.19795 126.90873 x x 64.232 125.29327 x x 63.50223 x 
x x x x x x 84.09806 x 113.6209 133.8408 x 52.13147 x x 59.22846 20.18496 x 145.66487 46.22144 x x 38.13645 138.84298 82.49454 127.3457 87.44089 12.83069 x x x x 121.54096 65.95911 158.11252 82.47932 x x 133.58784 x 141.39252 x 171.83482 108.53233 107.2654 27.73612 62.30085 x 39.84227 133.78698 119.41745 20.17233 73.82029 x x x 118.37121 x x x 47.25699 x x 50.97832 34.60202 x x x 126.123 101.20343 33.71085 x x 65.57549 x 36.2127 90.09488 x x x x 64.65346 x x 117.49432 191.87716 x x 18.65927 x x 93.90569 108.14118 x x x 180.31576 x x 80.54046 x 138.07009 x 45.53575 135.389 113.29366 x 133.79648 x x 147.34964 x x x 63.16757 x x x x x x 148.38962 85.7776 129.89794 x x x x 155.2496 75.31174 x x 94.8095 x x x 55.10516 x x x x 96.84281 51.50982 x 102.57775 x x 121.98769 x x x x x 72.11511 120.18171 x 11.96008 x 105.30418 57.04695 19.38044 x x x x x 88.189 x x x 152.72279 x x 148.10296 54.07136 86.43752 x 133.60201 x x x x 111.65531 193.94716 x 43.38545 94.02164 x x x x x x x x x 104.86066 x x x x 
x 56.61943 x 118.46024 60.0522 x 97.93502 47.5457 85.76581 119.95551 x x x x 37.12133 8.75515 115.41444 130.50052 65.00663 x x 60.41774 117.04532 x 100.27617 103.41054 23.48952 x 136.53065 x x 119.09964 x 137.82117 55.40116 x 27.77132 117.66953 x x 69.58966 x x 82.46197 47.29033 x x x 122.23112 x x 45.9602 42.95601 x x 91.86176 6.46177 93.99318 127.35562 x x 64.78481 78.38477 x x x 137.29262 x x 55.17824 x x 91.47092 x 9.36972 63.64709 38.47753 98.13548 94.15105 x 91.90804 x x 89.83291 173.80233 103.76831 64.46053 x x x x 122.57258 107.97093 79.34468 76.78318 160.58023 89.85622 x x 111.70675 139.27744 x 56.87304 130.90635 105.63297 31.10485 x 151.59798 x 125.90882 x x x x 163.0001 102.34105 x 29.85607 106.30995 39.69747 155.47062 x x x 47.79488 x x 140.95689 98.1777 47.42854 43.89213 x 115.26207 x x x x x x 63.20404 85.47953 x 126.84383 85.64388 x 118.77575 95.61381 148.55416 146.58163 x 123.70226 x x x x x 98.95546 x x 46.53743 x 27.86759 154.31429 160.01112 x 82.77717 66.56057 8.72561 x x x x x x x x x x x 115.65936 x 106.95953 175.13729 x x 67.04923 x x x 81.22936 x x 93.00712 x 58.41007 82.43865 x x x x 
167.72258 36.04963 75.08617 x 124.13401 223.94223 182.26433 x x x 84.09822 163.30736 x 92.13433 86.24166 100.60139 x 149.43246 137.71026 140.82231 42.76824 151.9616 111.32554 101.4 11.81734 189.50299 115.21893 142.29877 160.7436 49.0182 x 175.64033 171.10807 x x x x x 39.78174 164.00967 124.56566 x 43.42615 76.45793 x 60.4742 127.82702 150.48841 155.15155 x x x 131.76786 118.37121 91.86176 x 92.9821 182.06287 171.51693 93.81162 x x x 118.489 132.95527 x x x x 146.63971 x 94.8626 x x 82.67146 62.09509 x 189.72354 x x 183.01261 60.27009 x x 171.85704 16.80707 x 125.45107 x x x 205.99521 182.99139 x x x 176.18886 205.90329 52.32841 133.43588 200.2956 68.21261 143.34311 x 153.34952 111.93239 58.23728 x 141.68649 119.01739 178.94848 176.09501 50.143 x x x 98.00378 121.59435 x 130.47594 x 108.97564 x 172.52861 x x x x 189.39544 73.51274 87.60748 186.88412 167.75517 179.82881 x x 123.43031 191.58981 93.95521 x 130.47902 x x 114.33046 112.48144 151.05357 4.0345 x x x 180.12509 x x 181.20502 106.03728 130.08358 13.73873 155.69692 x x x 65.73691 224.48797 x 191.27092 141.92308 x 95.49864 150.23782 155.1059 x x x 171.89808 x x 75.9348 34.74824 x 177.46861 x x 169.64902 x x x 3.71892 40.01544 116.27651 136.58116 65.65877 x 71.35471 x x 33.63288 x 226.18711 x x 
158.76821 x x 124.88254 65.93165 150.89133 100.77673 50.13167 88.85937 126.4009 x 73.61763 x x 43.45431 10.47173 x x 59.15334 x 53.29371 60.71337 123.17505 70.83442 101.92011 105.79178 24.23264 144.81405 142.96731 84.90382 x 124.73279 x 144.08771 x x 31.61368 124.1304 x x 75.7591 x 84.83585 x 41.81257 37.85135 106.32129 x 128.60378 x 35.70605 49.24445 x x 6.46177 92.9821 x x 133.45539 37.02653 65.09868 x 74.69105 38.82259 78.74029 x 143.74601 142.26049 93.18903 x 86.22174 4.74653 x x 11.13402 68.75048 x 98.13956 91.85032 x 90.07607 41.98004 x x 180.19447 x x 35.29916 x 71.21909 69.30012 x x x x x 92.301 x x 118.16804 x 114.01645 x x x 36.22228 110.82744 x x 132.07089 x 83.41059 48.44958 86.44097 166.96419 107.74045 50.89566 x x x 159.84949 x x 176.16536 x 150.95218 59.82339 147.41348 x 53.15663 x 109.5118 121.11949 x x x 47.48937 104.65264 x x x x 132.34353 x x 125.16671 x x x x 129.31017 x x x x x 99.27085 x 33.02399 42.98701 x 27.59509 158.72751 164.12438 x x 70.37128 x x 144.10417 x x x x x x 112.72982 96.27246 68.83906 x x 112.80046 x x x x x 92.28659 68.91932 x 27.89091 x 98.27084 x x x x x x x 
215.67202 x 123.12071 179.35718 116.23343 137.63194 89.57839 x 179.62256 x x 56.88722 x 192.4882 x 86.2658 x 195.94476 55.20262 231.72707 144.06957 52.20152 x x 191.81757 85.66124 74.5831 211.4698 196.81563 x 145.13012 153.13994 29.75405 x x 160.40481 x 185.63665 x x x x 174.68381 x x x 167.63048 58.58616 179.35186 x x x 73.67235 x 93.99318 182.06287 x x 172.64819 x x x 17.74023 87.8309 x x 199.70902 x 153.66016 55.45656 x 87.98835 33.75466 x x x 98.57672 48.82855 13.92385 97.56145 20.7989 131.93545 224.24686 183.03124 244.83026 190.97048 x x x 32.16374 x 104.42215 x 173.2794 29.0849 236.11376 x x 137.5319 180.03684 x 201.4519 x x x 93.77359 x 187.63825 x 206.37783 138.89422 15.64931 x x 154.90831 x x x 157.22889 x x 141.79641 x x x x x x x x 101.13534 x 155.61066 4.41161 x x x x x x x x x x x x 185.43083 156.11794 x 210.50376 x 84.45721 x 147.6296 x x x x 118.71358 47.88222 x 116.65299 x x 101.9784 x 89.4442 x x x 121.00721 x x x x x 198.30516 x x x x x x 206.19897 64.28531 x x x x x x 199.66991 x x x 163.31263 x x x x 
